                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6918,                 5.1966,                 1.6408,                0.35781,                0.01813,                 0.0092,                0.00543,                 1.5597,                  3.354,                  1.634,                   0.01,                   0.01,                   0.01
                      2,                 1.5738,                 4.4804,                 1.5775,                0.42326,                0.02826,                0.01733,                0.01116,                 1.4557,                   3.09,                 1.5654,              0.0099902,              0.0099902,              0.0099902
                      3,                 1.5227,                 4.2252,                 1.5392,                0.45532,                0.03863,                0.02601,                0.01745,                 1.3914,                 2.9104,                 1.5152,               0.009961,               0.009961,               0.009961
                      4,                 1.4919,                 4.0548,                 1.5211,                0.50026,                0.03958,                0.02836,                0.01837,                   1.36,                 2.8129,                 1.4874,              0.0099123,              0.0099123,              0.0099123
                      5,                 1.4777,                 3.9271,                 1.5064,                0.48198,                0.05234,                0.03586,                0.02458,                 1.3301,                 2.7174,                 1.4563,              0.0098445,              0.0098445,              0.0098445
                      6,                 1.4595,                 3.8101,                 1.4906,                0.49891,                0.06098,                0.04363,                0.03006,                 1.3177,                 2.6398,                 1.4357,              0.0097577,              0.0097577,              0.0097577
                      7,                 1.4525,                 3.7243,                 1.4828,                0.52654,                 0.0587,                0.04612,                0.03199,                  1.304,                 2.6206,                 1.4248,              0.0096524,              0.0096524,              0.0096524
                      8,                 1.4393,                 3.6494,                 1.4745,                0.52578,                0.06496,                0.05251,                 0.0367,                 1.2897,                 2.5558,                 1.4107,              0.0095289,              0.0095289,              0.0095289
                      9,                  1.429,                 3.5861,                 1.4638,                0.54674,                  0.069,                0.05629,                 0.0403,                  1.262,                 2.4668,                 1.3901,              0.0093877,              0.0093877,              0.0093877
                     10,                  1.424,                 3.5459,                 1.4609,                0.55783,                0.07481,                0.06298,                0.04472,                  1.253,                  2.427,                 1.3827,              0.0092294,              0.0092294,              0.0092294
                     11,                 1.4141,                 3.4986,                 1.4531,                0.55279,                0.07822,                0.06305,                0.04422,                  1.243,                 2.4293,                 1.3686,              0.0090546,              0.0090546,              0.0090546
                     12,                 1.4114,                 3.4674,                 1.4505,                 0.5701,                0.07612,                0.07131,                0.05022,                 1.2299,                 2.3561,                 1.3576,               0.008864,               0.008864,               0.008864
                     13,                 1.4044,                  3.433,                 1.4438,                0.59156,                0.08055,                0.07667,                0.05474,                 1.2234,                 2.3055,                 1.3521,              0.0086584,              0.0086584,              0.0086584
                     14,                 1.3946,                 3.3961,                 1.4403,                0.56005,                0.08518,                0.07879,                0.05687,                 1.2015,                 2.2687,                 1.3361,              0.0084385,              0.0084385,              0.0084385
                     15,                 1.3946,                 3.3685,                 1.4337,                0.60265,                0.08206,                0.08143,                0.05804,                 1.1944,                 2.2266,                 1.3295,              0.0082052,              0.0082052,              0.0082052
                     16,                 1.3841,                 3.3346,                 1.4289,                0.55676,                0.08952,                0.08542,                0.06146,                 1.1884,                  2.209,                 1.3245,              0.0079595,              0.0079595,              0.0079595
                     17,                 1.3796,                  3.317,                 1.4254,                 0.5554,                0.09152,                 0.0887,                0.06339,                 1.1809,                 2.1744,                 1.3147,              0.0077023,              0.0077023,              0.0077023
                     18,                 1.3715,                 3.2844,                 1.4191,                0.58633,                0.09256,                0.08874,                0.06395,                 1.1783,                 2.1567,                 1.3139,              0.0074347,              0.0074347,              0.0074347
                     19,                 1.3711,                 3.2633,                 1.4156,                0.60938,                0.09072,                0.09503,                  0.069,                 1.1703,                 2.1474,                  1.304,              0.0071576,              0.0071576,              0.0071576
                     20,                 1.3643,                 3.2413,                 1.4105,                0.59716,                0.09366,                0.09337,                0.06739,                 1.1653,                 2.1378,                 1.2998,              0.0068722,              0.0068722,              0.0068722
                     21,                 1.3616,                 3.2231,                 1.4074,                0.57204,                0.10392,                0.10092,                0.07297,                 1.1589,                 2.1051,                 1.2949,              0.0065796,              0.0065796,              0.0065796
                     22,                 1.3535,                 3.2021,                 1.4018,                0.54232,                0.10882,                0.10102,                0.07329,                 1.1518,                 2.0888,                 1.2908,               0.006281,               0.006281,               0.006281
                     23,                 1.3485,                 3.1801,                  1.399,                0.54518,                0.10771,                0.10127,                0.07334,                 1.1473,                 2.0806,                 1.2873,              0.0059775,              0.0059775,              0.0059775
