                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8875,                 6.9791,                 2.7346,                 0.0077,                0.52283,                0.04816,                0.02696,                 2.9039,                 7.0576,                 2.9497,             0.00020723,             0.00020723,             0.00020723
                      2,                 2.6234,                 4.6951,                  2.613,                0.55661,                0.08608,                0.07188,                 0.0393,                 3.1553,                 6.7153,                 3.1608,             0.00041144,             0.00041144,             0.00041144
                      3,                  2.526,                 4.0054,                 2.5408,                0.48577,                0.09679,                0.06911,                 0.0376,                 3.3565,                 6.7097,                 3.2622,             0.00061154,             0.00061154,             0.00061154
                      4,                 2.4431,                 3.5089,                 2.5062,                0.53383,                0.08456,                0.06975,                0.03769,                 3.3047,                 6.6029,                 3.2662,             0.00060644,             0.00060644,             0.00060644
                      5,                 2.3135,                 3.0624,                  2.429,                0.17598,                0.14675,                0.08848,                 0.0471,                 3.4166,                  6.275,                 3.3787,             0.00060025,             0.00060025,             0.00060025
                      6,                 2.2221,                 2.7598,                 2.3862,                0.21299,                0.14924,                0.10033,                0.05523,                 3.4666,                 6.4163,                 3.3977,             0.00059406,             0.00059406,             0.00059406
                      7,                 2.1275,                 2.4983,                 2.3345,                0.21771,                 0.1927,                0.12487,                0.06564,                 3.3813,                 5.8729,                 3.2617,             0.00058787,             0.00058787,             0.00058787
                      8,                  2.067,                 2.3529,                 2.2996,                0.22848,                 0.1938,                0.12293,                0.06645,                 3.4372,                 5.9478,                 3.3099,             0.00058169,             0.00058169,             0.00058169
                      9,                 2.0201,                 2.2384,                 2.2759,                0.25274,                0.20377,                0.14801,                0.07837,                 3.5572,                 5.8861,                 3.3996,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.9446,                 2.1214,                 2.2482,                0.26265,                0.22393,                0.14987,                0.07849,                 3.4405,                 5.7914,                  3.338,             0.00056931,             0.00056931,             0.00056931
                     11,                 1.9081,                 2.0234,                 2.2167,                0.24432,                0.19847,                0.14183,                0.07368,                 3.5243,                 6.0343,                   3.38,             0.00056313,             0.00056313,             0.00056313
                     12,                 1.8365,                 1.9437,                 2.1907,                0.27104,                0.22913,                0.16924,                0.09342,                 3.4261,                 5.8143,                 3.3637,             0.00055694,             0.00055694,             0.00055694
                     13,                  1.808,                 1.9058,                 2.1804,                0.29965,                0.25953,                0.19194,                0.10135,                 3.3965,                 5.3867,                 3.2868,             0.00055075,             0.00055075,             0.00055075
                     14,                 1.7837,                 1.8737,                 2.1792,                0.30404,                0.24725,                0.19951,                0.10734,                 3.3856,                 5.2727,                 3.3228,             0.00054456,             0.00054456,             0.00054456
                     15,                 1.7632,                 1.8393,                 2.1671,                0.30668,                0.26598,                0.19619,                0.10544,                 3.4005,                 5.3058,                 3.2889,             0.00053838,             0.00053838,             0.00053838
                     16,                 1.7354,                 1.7768,                 2.1526,                0.32477,                0.28399,                0.21744,                0.11607,                 3.3889,                  5.225,                 3.2807,             0.00053219,             0.00053219,             0.00053219
