                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8733,                 6.9903,                  2.721,                0.84301,                0.03165,                0.05408,                0.03127,                 2.8779,                 6.9287,                 2.8946,             0.00020723,             0.00020723,             0.00020723
                      2,                 2.6276,                 4.7327,                 2.5995,                0.51616,                0.08445,                0.06568,                0.03786,                 3.1765,                 6.6524,                  3.121,              0.0004135,              0.0004135,              0.0004135
                      3,                 2.5345,                 4.0238,                 2.5504,                0.51307,                0.06698,                0.05019,                0.02703,                 3.4628,                 6.9862,                 3.3422,             0.00061772,             0.00061772,             0.00061772
                      4,                 2.4537,                 3.5032,                 2.4991,                0.34629,                0.10079,                0.06702,                0.03741,                 3.3737,                 6.5517,                 3.2905,             0.00061572,             0.00061572,             0.00061572
                      5,                 2.3279,                 3.0685,                 2.4317,                0.24904,                0.10819,                0.07443,                0.03977,                 3.4208,                 6.8007,                 3.3726,             0.00061262,             0.00061262,             0.00061262
                      6,                 2.2255,                 2.7573,                 2.3926,                0.23062,                0.16759,                0.11416,                0.05973,                 3.4175,                 6.0359,                 3.2702,             0.00060953,             0.00060953,             0.00060953
                      7,                 2.1311,                 2.5505,                 2.3363,                0.20238,                0.17181,                0.10765,                0.05679,                 3.3652,                 5.9941,                 3.3291,             0.00060644,             0.00060644,             0.00060644
                      8,                  2.075,                 2.3841,                 2.2991,                0.22928,                 0.2026,                0.13991,                0.07626,                 3.3756,                 5.5975,                 3.2909,             0.00060334,             0.00060334,             0.00060334
                      9,                 2.0183,                 2.2671,                 2.2736,                0.26169,                0.20261,                0.14448,                 0.0783,                  3.436,                 5.7425,                 3.3466,             0.00060025,             0.00060025,             0.00060025
                     10,                 1.9403,                 2.1404,                 2.2433,                 0.2774,                0.23538,                0.17121,                0.09044,                 3.4334,                 5.5436,                  3.368,             0.00059716,             0.00059716,             0.00059716
                     11,                 1.9048,                 2.0509,                 2.2253,                0.26711,                0.19892,                0.14834,                0.08148,                 3.4384,                 6.0322,                 3.3515,             0.00059406,             0.00059406,             0.00059406
                     12,                  1.863,                 1.9748,                 2.2061,                0.27461,                0.22878,                0.16494,                0.08538,                 3.4622,                 5.5684,                 3.3309,             0.00059097,             0.00059097,             0.00059097
                     13,                 1.8021,                 1.8911,                 2.1798,                0.31603,                 0.2573,                0.20014,                0.10942,                 3.4169,                 5.5402,                 3.3331,             0.00058787,             0.00058787,             0.00058787
                     14,                 1.7856,                 1.8721,                 2.1771,                0.31192,                0.23694,                0.19441,                0.10576,                 3.4117,                 5.6326,                  3.342,             0.00058478,             0.00058478,             0.00058478
                     15,                 1.7629,                 1.8153,                 2.1593,                 0.3106,                0.26975,                0.20879,                0.11143,                 3.3949,                 5.2644,                 3.3055,             0.00058169,             0.00058169,             0.00058169
                     16,                 1.7356,                 1.7857,                 2.1494,                0.32023,                0.26707,                0.21649,                0.11707,                  3.401,                 5.1811,                 3.3292,             0.00057859,             0.00057859,             0.00057859
                     17,                 1.7181,                 1.7361,                 2.1371,                0.31959,                 0.2836,                0.21784,                0.11701,                 3.3856,                 5.2124,                 3.2699,              0.0005755,              0.0005755,              0.0005755
                     18,                 1.6788,                 1.6879,                 2.1248,                0.31959,                0.27291,                0.21455,                0.11233,                 3.3994,                 5.1487,                 3.2459,             0.00057241,             0.00057241,             0.00057241
                     19,                  1.668,                 1.6685,                 2.1197,                0.32968,                0.28387,                0.22598,                 0.1198,                 3.4191,                 5.0981,                 3.3023,             0.00056931,             0.00056931,             0.00056931
                     20,                 1.6217,                 1.6128,                 2.1014,                0.33807,                0.29772,                0.24298,                0.12895,                 3.3463,                 4.9685,                 3.2416,             0.00056622,             0.00056622,             0.00056622
                     21,                 1.6261,                 1.6092,                 2.0986,                0.33121,                0.30441,                0.23778,                0.12879,                 3.3656,                 4.9256,                 3.2082,             0.00056313,             0.00056313,             0.00056313
                     22,                 1.5831,                 1.5898,                 2.0863,                0.33984,                0.28896,                0.23498,                0.12669,                  3.335,                 5.0694,                 3.2513,             0.00056003,             0.00056003,             0.00056003
                     23,                  1.572,                 1.5503,                 2.0799,                0.34195,                0.30663,                0.24772,                0.13264,                 3.3409,                 4.9331,                 3.2369,             0.00055694,             0.00055694,             0.00055694
                     24,                 1.5626,                 1.5402,                 2.0809,                0.35054,                0.29616,                0.24126,                0.13134,                 3.3645,                 5.1409,                 3.2269,             0.00055384,             0.00055384,             0.00055384
                     25,                 1.5376,                  1.507,                 2.0581,                0.37091,                0.30092,                0.25105,                0.13371,                 3.3906,                 5.0899,                 3.3338,             0.00055075,             0.00055075,             0.00055075
                     26,                 1.5371,                 1.5003,                 2.0657,                0.34096,                0.28561,                0.23825,                0.13013,                 3.3642,                  5.027,                 3.2748,             0.00054766,             0.00054766,             0.00054766
                     27,                 1.5374,                 1.5065,                  2.072,                0.39799,                0.32188,                 0.2903,                  0.157,                 3.3287,                 4.6809,                 3.2009,             0.00054456,             0.00054456,             0.00054456
                     28,                 1.5182,                 1.4607,                 2.0477,                0.38478,                0.30653,                0.27246,                0.14672,                 3.3662,                 4.9496,                 3.2754,             0.00054147,             0.00054147,             0.00054147
                     29,                 1.4894,                 1.4162,                 2.0376,                0.37664,                0.29685,                0.25923,                0.13788,                 3.3683,                 4.8882,                 3.2723,             0.00053838,             0.00053838,             0.00053838
                     30,                 1.4661,                 1.3982,                 2.0285,                0.36837,                0.31648,                0.27039,                0.14476,                 3.3758,                 4.7601,                 3.2734,             0.00053528,             0.00053528,             0.00053528
                     31,                 1.4681,                 1.4004,                 2.0398,                0.35253,                 0.3244,                 0.2624,                0.14365,                 3.3524,                 4.9205,                 3.2413,             0.00053219,             0.00053219,             0.00053219
                     32,                 1.4372,                 1.3761,                 2.0189,                0.34376,                0.30545,                0.25098,                0.13944,                 3.3505,                 4.8693,                 3.2334,             0.00052909,             0.00052909,             0.00052909
                     33,                 1.4529,                 1.3963,                 2.0255,                0.36761,                0.33228,                0.28306,                0.15287,                  3.329,                 4.6246,                 3.2262,               0.000526,               0.000526,               0.000526
                     34,                 1.4432,                 1.3799,                 2.0186,                0.37298,                0.32235,                0.27015,                0.14687,                 3.3339,                  4.697,                 3.1849,             0.00052291,             0.00052291,             0.00052291
                     35,                 1.4248,                 1.3525,                 2.0167,                0.38864,                0.32873,                0.29046,                 0.1569,                 3.3195,                 4.6768,                 3.1754,             0.00051981,             0.00051981,             0.00051981
                     36,                 1.4068,                 1.3231,                 2.0107,                0.40419,                0.34345,                0.30157,                0.16324,                  3.331,                 4.6106,                 3.1897,             0.00051672,             0.00051672,             0.00051672
                     37,                  1.406,                 1.3315,                 2.0047,                0.38702,                0.31907,                0.28486,                0.15542,                 3.3648,                 4.8044,                 3.2683,             0.00051363,             0.00051363,             0.00051363
                     38,                 1.4087,                 1.3276,                 2.0039,                0.37874,                0.33712,                0.29616,                0.16278,                 3.3248,                  4.557,                 3.1602,             0.00051053,             0.00051053,             0.00051053
                     39,                 1.4042,                  1.304,                 1.9985,                0.40197,                0.32819,                0.30611,                0.17055,                 3.3229,                 4.5544,                  3.211,             0.00050744,             0.00050744,             0.00050744
                     40,                 1.3824,                 1.2922,                 1.9967,                  0.393,                0.35326,                0.30675,                0.16531,                 3.3679,                 4.5291,                 3.1984,             0.00050434,             0.00050434,             0.00050434
                     41,                  1.386,                 1.2961,                 1.9916,                0.40043,                 0.3374,                0.30743,                0.16874,                 3.3146,                 4.5915,                 3.1839,             0.00050125,             0.00050125,             0.00050125
                     42,                 1.3768,                  1.279,                 1.9957,                0.40354,                0.32725,                0.30115,                0.16926,                  3.294,                  4.655,                 3.1796,             0.00049816,             0.00049816,             0.00049816
                     43,                  1.366,                  1.264,                 1.9928,                0.38923,                0.35416,                0.30132,                0.16556,                 3.3092,                 4.6397,                  3.208,             0.00049506,             0.00049506,             0.00049506
