                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5961,                 4.8224,                 2.6521,                0.27306,                0.18745,                0.13052,                0.07195,                 3.2666,                 6.0188,                 3.2884,              0.0002075,              0.0002075,              0.0002075
                      2,                 2.3307,                 2.6371,                 2.4726,                0.28047,                0.19317,                0.11545,                0.05688,                 3.5086,                 6.0489,                 3.4537,              0.0004076,              0.0004076,              0.0004076
                      3,                 2.2135,                 2.3285,                 2.4264,                 0.2001,                0.20594,                0.11065,                0.05288,                   3.54,                 6.0481,                 3.5101,             0.00059945,             0.00059945,             0.00059945
                      4,                 2.1407,                 2.1622,                 2.3804,                0.27566,                0.21324,                0.14469,                0.07461,                 3.5453,                 5.7734,                 3.5221,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.9949,                 2.0072,                 2.3124,                0.25847,                0.23771,                 0.1576,                0.07975,                 3.5408,                 5.8254,                 3.5511,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.8721,                  1.844,                 2.2553,                0.27839,                0.25048,                0.17059,                0.09033,                 3.4448,                 5.5299,                 3.4308,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.7782,                 1.7527,                 2.2101,                0.21012,                0.23422,                0.13825,                0.06899,                 3.5536,                 5.8272,                 3.4948,             0.00055075,             0.00055075,             0.00055075
                      8,                 1.6967,                 1.6552,                 2.1668,                0.30121,                0.27062,                0.20015,                  0.104,                  3.451,                 5.2349,                 3.4396,             0.00053838,             0.00053838,             0.00053838
                      9,                 1.6302,                 1.5747,                 2.1397,                0.30907,                0.29805,                0.21453,                0.10754,                  3.477,                 5.0554,                 3.3944,               0.000526,               0.000526,               0.000526
                     10,                 1.5704,                  1.519,                 2.1139,                0.31045,                0.29316,                0.23051,                0.11972,                 3.4491,                 4.9431,                 3.3814,             0.00051363,             0.00051363,             0.00051363
                     11,                 1.5068,                 1.4288,                 2.0722,                0.31733,                 0.3031,                0.22959,                0.12327,                 3.3993,                 5.0431,                 3.3274,             0.00050125,             0.00050125,             0.00050125
                     12,                 1.4888,                 1.4316,                 2.0705,                0.33071,                0.31066,                0.25123,                0.13657,                 3.3437,                 4.8966,                 3.3035,             0.00048888,             0.00048888,             0.00048888
                     13,                 1.4455,                  1.378,                 2.0509,                0.34045,                0.32818,                0.26707,                0.14674,                 3.3374,                 4.6327,                 3.2851,              0.0004765,              0.0004765,              0.0004765
                     14,                 1.3989,                 1.3225,                 2.0294,                0.37242,                0.30786,                0.26355,                 0.1429,                 3.3644,                 4.8214,                 3.3243,             0.00046413,             0.00046413,             0.00046413
                     15,                  1.372,                 1.2867,                   2.02,                0.34331,                0.32964,                0.26894,                0.14686,                   3.32,                 4.6259,                 3.2995,             0.00045175,             0.00045175,             0.00045175
                     16,                 1.3417,                 1.2731,                 2.0042,                0.39327,                0.32106,                0.27224,                0.14836,                 3.3179,                 4.6475,                 3.2502,             0.00043937,             0.00043937,             0.00043937
                     17,                 1.3081,                 1.2263,                  1.998,                0.34604,                0.35369,                0.26757,                0.14926,                 3.2426,                 4.7077,                 3.2273,               0.000427,               0.000427,               0.000427
                     18,                 1.2843,                 1.1898,                 1.9749,                0.39769,                0.34421,                 0.3052,                0.17003,                 3.2752,                 4.4879,                 3.2409,             0.00041462,             0.00041462,             0.00041462
                     19,                 1.2535,                 1.1641,                 1.9635,                0.37156,                0.35903,                0.30063,                0.16696,                 3.2833,                  4.483,                 3.2285,             0.00040225,             0.00040225,             0.00040225
                     20,                 1.2358,                 1.1494,                 1.9658,                0.40829,                0.35355,                0.32346,                0.18161,                 3.2159,                 4.4068,                 3.1528,             0.00038988,             0.00038988,             0.00038988
                     21,                 1.2134,                 1.1297,                 1.9521,                0.41574,                 0.3583,                0.33029,                0.18388,                 3.2443,                 4.2113,                 3.1788,              0.0003775,              0.0003775,              0.0003775
                     22,                 1.1937,                 1.1094,                 1.9469,                0.40609,                0.36117,                0.32118,                0.17962,                 3.2057,                 4.4045,                 3.1334,             0.00036513,             0.00036513,             0.00036513
                     23,                 1.1731,                 1.0769,                 1.9366,                0.44064,                0.39387,                0.36598,                0.20334,                 3.2158,                 4.1025,                 3.1454,             0.00035275,             0.00035275,             0.00035275
                     24,                 1.1529,                 1.0461,                 1.9232,                0.42755,                0.39186,                0.36038,                0.20227,                 3.1993,                 4.1904,                 3.1189,             0.00034038,             0.00034038,             0.00034038
                     25,                 1.1308,                 1.0293,                 1.9126,                 0.4384,                0.37739,                0.34711,                0.19754,                 3.1669,                 4.2181,                 3.1311,               0.000328,               0.000328,               0.000328
                     26,                 1.1146,                 1.0004,                 1.9029,                0.43369,                0.38121,                0.35236,                0.20277,                 3.1641,                 4.2182,                 3.1224,             0.00031562,             0.00031562,             0.00031562
                     27,                 1.1062,                 1.0144,                  1.909,                0.45468,                0.37927,                 0.3613,                0.20763,                 3.1749,                 4.1396,                 3.1228,             0.00030325,             0.00030325,             0.00030325
                     28,                 1.0834,                0.97126,                  1.894,                0.46023,                0.39401,                0.36553,                0.20859,                 3.1734,                 4.1753,                  3.101,             0.00029088,             0.00029088,             0.00029088
                     29,                 1.0699,                0.94644,                 1.8873,                0.45039,                0.39945,                0.37042,                0.21312,                 3.1648,                 4.1359,                 3.1047,              0.0002785,              0.0002785,              0.0002785
                     30,                 1.0315,                0.92279,                 1.8734,                0.45023,                0.41845,                0.38955,                0.22161,                  3.164,                 3.9181,                 3.1025,             0.00026613,             0.00026613,             0.00026613
                     31,                 1.0291,                0.91714,                  1.882,                0.44981,                0.40645,                0.37604,                0.21633,                 3.1573,                 4.0678,                  3.118,             0.00025375,             0.00025375,             0.00025375
                     32,                 1.0248,                0.91737,                 1.8787,                0.46247,                0.40405,                0.38759,                0.22202,                  3.131,                 3.9982,                 3.0814,             0.00024137,             0.00024137,             0.00024137
                     33,                 1.0086,                0.88251,                  1.868,                0.45263,                0.41112,                0.38428,                0.21808,                 3.1586,                 4.0308,                 3.0909,               0.000229,               0.000229,               0.000229
                     34,                 1.0067,                0.88395,                 1.8656,                0.45781,                0.40922,                0.38536,                0.22242,                  3.136,                 4.0252,                 3.0764,             0.00021662,             0.00021662,             0.00021662
                     35,                0.97268,                0.85194,                 1.8569,                0.49461,                0.40423,                0.39152,                 0.2238,                 3.1554,                 3.9554,                 3.0887,             0.00020425,             0.00020425,             0.00020425
                     36,                0.95727,                0.83167,                 1.8572,                0.47824,                0.41303,                0.39521,                0.22955,                 3.1185,                 3.9383,                 3.0725,             0.00019188,             0.00019188,             0.00019188
                     37,                0.94356,                0.81435,                 1.8346,                0.48698,                0.41836,                0.40259,                0.23173,                 3.1139,                 3.9465,                   3.06,              0.0001795,              0.0001795,              0.0001795
                     38,                0.93017,                0.80132,                 1.8307,                0.46706,                0.41113,                0.38826,                0.22548,                 3.1403,                 4.0215,                 3.0752,             0.00016713,             0.00016713,             0.00016713
                     39,                0.94304,                0.79913,                 1.8415,                0.47919,                0.42334,                 0.4155,                   0.24,                 3.1006,                 3.8131,                 3.0542,             0.00015475,             0.00015475,             0.00015475
                     40,                0.90949,                0.78355,                 1.8345,                0.48777,                0.40293,                0.40266,                0.23352,                 3.1092,                 3.9453,                  3.051,             0.00014237,             0.00014237,             0.00014237
                     41,                 2.5721,                  2.576,                 2.6509,                0.45797,                0.42979,                0.39993,                0.23191,                 3.1253,                 3.8754,                 3.0581,                0.00013,                0.00013,                0.00013
                     42,                 2.4971,                 2.3024,                 2.5844,                0.48021,                0.43778,                0.42073,                 0.2466,                 3.0892,                 3.8527,                 3.0234,             0.00011763,             0.00011763,             0.00011763
                     43,                 2.4257,                  2.141,                 2.5447,                0.50396,                0.44536,                0.43825,                 0.2584,                 3.0588,                 3.7182,                 3.0043,             0.00010525,             0.00010525,             0.00010525
                     44,                 2.3812,                 2.0447,                 2.5141,                0.51407,                0.43447,                0.43307,                0.25685,                 3.0471,                 3.7857,                 3.0158,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     45,                 2.3394,                 1.9268,                 2.4785,                0.52517,                0.44386,                0.44536,                0.26238,                  3.058,                 3.7297,                 3.0004,               8.05e-05,               8.05e-05,               8.05e-05
                     46,                 2.2815,                 1.8061,                 2.4452,                0.51673,                0.45365,                0.44867,                0.26516,                 3.0477,                  3.768,                 2.9907,             6.8125e-05,             6.8125e-05,             6.8125e-05
