                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0085,                 3.1312,                 2.5487,                0.45693,                0.33365,                0.31562,                 0.1998,                  2.605,                 4.4057,                 3.0184,                0.07004,              0.0033289,              0.0033289
                      2,                 1.5439,                 1.7549,                 2.2314,                0.37558,                0.31364,                0.26442,                0.15432,                 2.9576,                 4.8918,                 3.2765,               0.040038,              0.0066606,              0.0066606
                      3,                 1.6083,                 1.8066,                 2.2749,                0.31145,                0.25104,                0.20274,                0.10839,                 3.3193,                 5.3506,                 3.6893,                0.01003,              0.0099858,              0.0099858
                      4,                 1.7094,                 1.8798,                 2.3656,                0.23143,                0.20927,                0.12898,                0.06244,                 3.5442,                  5.906,                   3.93,               0.009978,               0.009978,               0.009978
                      5,                 1.6307,                  1.862,                  2.357,                0.22624,                0.21811,                0.13881,                0.06994,                 3.5315,                 5.9432,                 4.0055,               0.009961,               0.009961,               0.009961
                      6,                 1.5529,                 1.7129,                 2.2947,                 0.2309,                0.21426,                 0.1413,                0.06799,                 3.5896,                 5.7776,                 3.9536,              0.0099391,              0.0099391,              0.0099391
                      7,                 1.4689,                 1.6427,                 2.2511,                0.25709,                0.22685,                0.14941,                0.07473,                 3.4369,                 5.7919,                 3.7912,              0.0099123,              0.0099123,              0.0099123
                      8,                 1.4157,                 1.5974,                 2.2344,                0.26378,                0.21746,                0.15506,                0.07987,                  3.494,                 5.5657,                 3.9428,              0.0098808,              0.0098808,              0.0098808
                      9,                 1.3896,                 1.5592,                 2.2281,                0.27708,                0.25113,                0.17754,                0.08977,                 3.4816,                 5.4986,                 3.9665,              0.0098445,              0.0098445,              0.0098445
                     10,                 1.3319,                  1.461,                 2.1906,                0.25291,                0.24639,                0.17285,                0.09398,                 3.4057,                 5.4074,                 3.7972,              0.0098035,              0.0098035,              0.0098035
                     11,                 1.2994,                 1.4447,                 2.1571,                0.27517,                0.23955,                0.17612,                0.09284,                 3.3952,                 5.4482,                 3.8906,              0.0097577,              0.0097577,              0.0097577
                     12,                 1.2883,                 1.4228,                 2.1723,                0.28769,                0.28648,                0.20216,                0.10948,                 3.3089,                 5.2128,                 3.7436,              0.0097074,              0.0097074,              0.0097074
                     13,                 1.2479,                 1.3895,                 2.1481,                0.32819,                0.27992,                0.20362,                0.10849,                 3.3712,                 5.1867,                 3.8284,              0.0096524,              0.0096524,              0.0096524
                     14,                 1.2009,                 1.3268,                 2.1128,                0.29817,                0.28474,                 0.2138,                0.11395,                 3.3794,                  5.077,                 3.8878,              0.0095929,              0.0095929,              0.0095929
                     15,                 1.1906,                 1.3138,                 2.1185,                0.30049,                0.29577,                0.21343,                0.11236,                 3.3782,                 5.1146,                 3.8319,              0.0095289,              0.0095289,              0.0095289
                     16,                  1.175,                 1.2733,                 2.1071,                0.30616,                0.30885,                0.21964,                0.11633,                 3.3455,                 5.0609,                 3.7581,              0.0094605,              0.0094605,              0.0094605
                     17,                  1.143,                 1.2298,                 2.0918,                0.30101,                 0.3046,                0.23692,                0.13022,                 3.2737,                  4.841,                 3.7341,              0.0093877,              0.0093877,              0.0093877
                     18,                 1.1529,                 1.2419,                 2.0921,                0.35553,                 0.3145,                0.25938,                0.14253,                   3.29,                 4.7302,                 3.7377,              0.0093107,              0.0093107,              0.0093107
                     19,                 1.1115,                 1.1938,                 2.0779,                0.30695,                0.32469,                0.24687,                0.12899,                 3.2829,                 4.8474,                 3.6763,              0.0092294,              0.0092294,              0.0092294
                     20,                 1.0695,                 1.1414,                 2.0381,                0.34394,                0.31524,                0.26087,                0.14165,                 3.2643,                 4.7459,                 3.7332,               0.009144,               0.009144,               0.009144
                     21,                 1.0865,                 1.1701,                 2.0603,                0.35813,                0.32568,                 0.2709,                0.14816,                 3.2733,                 4.6447,                   3.76,              0.0090546,              0.0090546,              0.0090546
                     22,                  1.085,                 1.1637,                 2.0583,                0.33617,                0.34538,                0.26656,                  0.141,                 3.3151,                  4.646,                 3.7499,              0.0089613,              0.0089613,              0.0089613
                     23,                 1.0582,                 1.1318,                 2.0413,                0.35317,                  0.327,                 0.2654,                0.14432,                 3.2725,                 4.5924,                 3.7156,               0.008864,               0.008864,               0.008864
                     24,                 1.0531,                 1.1258,                 2.0346,                0.36216,                0.33641,                0.28036,                0.15453,                 3.2025,                 4.5696,                 3.6415,               0.008763,               0.008763,               0.008763
                     25,                 1.0272,                  1.112,                 2.0244,                 0.3931,                0.34647,                0.29722,                0.16357,                 3.2189,                 4.5861,                 3.6737,              0.0086584,              0.0086584,              0.0086584
                     26,                 1.0069,                  1.082,                 2.0175,                0.34571,                0.34584,                0.28329,                0.15494,                  3.242,                 4.5709,                 3.6898,              0.0085502,              0.0085502,              0.0085502
