                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0373,                  3.125,                 2.5796,                0.23724,                0.15172,                0.09593,                0.04924,                 3.5229,                 6.5263,                 4.0506,             0.00020806,             0.00020806,             0.00020806
                      2,                  1.885,                 2.2502,                 2.5546,                0.24677,                0.15553,                0.06913,                0.03211,                 3.6918,                 7.0799,                 4.1548,             0.00040814,             0.00040814,             0.00040814
                      3,                  1.794,                 2.0695,                  2.496,                0.17752,                0.13433,                0.07728,                0.03687,                 3.6752,                 6.6175,                 4.2338,             0.00059998,             0.00059998,             0.00059998
                      4,                 1.6597,                 1.9097,                 2.4133,                 0.1944,                0.14654,                0.08846,                0.04223,                 3.6566,                 6.2148,                 4.1164,             0.00058787,             0.00058787,             0.00058787
                      5,                 1.5963,                 1.8444,                 2.3859,                0.19634,                0.16673,                0.10544,                0.05264,                 3.5957,                 6.1168,                 4.1359,              0.0005755,              0.0005755,              0.0005755
                      6,                 1.4538,                 1.6673,                 2.2815,                0.19676,                0.16273,                0.09735,                0.04713,                 3.7131,                 6.1075,                 4.1177,             0.00056313,             0.00056313,             0.00056313
                      7,                 1.3753,                 1.5665,                  2.249,                0.23142,                0.19906,                 0.1277,                0.06393,                 3.4787,                 6.2857,                  4.026,             0.00055075,             0.00055075,             0.00055075
                      8,                 1.3175,                 1.4979,                 2.2115,                0.25276,                0.18659,                0.13317,                0.06784,                 3.4863,                 5.7609,                 3.9892,             0.00053838,             0.00053838,             0.00053838
                      9,                 1.2617,                 1.4552,                 2.1794,                0.26365,                0.22385,                0.14946,                0.07867,                 3.4558,                 5.5913,                 3.9644,               0.000526,               0.000526,               0.000526
                     10,                 1.2256,                 1.3996,                  2.167,                0.23342,                0.22632,                0.14464,                0.07625,                 3.4706,                 5.5195,                 3.9511,             0.00051363,             0.00051363,             0.00051363
                     11,                 1.1877,                 1.3418,                 2.1314,                 0.2533,                 0.2195,                  0.163,                0.08829,                 3.4172,                 5.3902,                 3.8735,             0.00050125,             0.00050125,             0.00050125
                     12,                 1.1527,                 1.3203,                 2.1194,                0.25935,                0.24714,                0.16833,                0.08931,                 3.4011,                 5.4694,                  3.907,             0.00048888,             0.00048888,             0.00048888
                     13,                 1.1291,                 1.3055,                 2.1096,                  0.282,                0.25333,                0.18277,                0.09905,                 3.3725,                  5.226,                 3.8565,              0.0004765,              0.0004765,              0.0004765
                     14,                   1.07,                 1.2177,                 2.0647,                0.28803,                0.27863,                0.19572,                0.10429,                 3.3573,                 5.1921,                 3.8703,             0.00046413,             0.00046413,             0.00046413
                     15,                 1.0667,                 1.2069,                 2.0751,                 0.2997,                0.29663,                0.21959,                0.11849,                 3.2904,                 4.9326,                 3.8061,             0.00045175,             0.00045175,             0.00045175
                     16,                 1.0399,                 1.1782,                 2.0597,                0.30569,                0.30002,                 0.2137,                0.11491,                 3.3605,                 4.8728,                 3.8043,             0.00043937,             0.00043937,             0.00043937
                     17,                 1.0033,                 1.1117,                 2.0389,                0.31704,                0.29339,                0.22243,                 0.1185,                 3.3483,                 4.9776,                 3.8233,               0.000427,               0.000427,               0.000427
                     18,                 1.0033,                 1.1416,                 2.0324,                 0.3014,                0.30802,                 0.2309,                0.12618,                 3.2771,                 4.9476,                 3.7429,             0.00041462,             0.00041462,             0.00041462
                     19,                0.98942,                 1.1102,                 2.0292,                0.30013,                0.31073,                0.23921,                0.13189,                 3.2537,                 4.7708,                 3.6946,             0.00040225,             0.00040225,             0.00040225
                     20,                0.93907,                 1.0496,                  1.991,                0.34577,                0.30106,                0.25434,                0.14115,                 3.2628,                 4.7757,                 3.7938,             0.00038988,             0.00038988,             0.00038988
                     21,                0.94855,                 1.0745,                 2.0126,                 0.3344,                0.30509,                0.24871,                 0.1388,                 3.2472,                  4.713,                 3.7752,              0.0003775,              0.0003775,              0.0003775
                     22,                0.96442,                 1.1077,                 2.0255,                0.33142,                0.31773,                0.25461,                0.14247,                 3.2088,                 4.6652,                  3.675,             0.00036513,             0.00036513,             0.00036513
                     23,                0.92342,                 1.0445,                 1.9868,                 0.3214,                0.33704,                0.26803,                 0.1494,                 3.1903,                 4.5124,                  3.692,             0.00035275,             0.00035275,             0.00035275
                     24,                 0.9249,                 1.0318,                 1.9957,                0.33824,                0.32571,                0.26306,                0.14668,                 3.2228,                 4.6221,                  3.767,             0.00034038,             0.00034038,             0.00034038
                     25,                0.91002,                 1.0121,                 1.9788,                0.37131,                0.34407,                0.28918,                0.16225,                 3.2089,                  4.487,                 3.6689,               0.000328,               0.000328,               0.000328
                     26,                 0.8722,                0.96966,                 1.9646,                0.35335,                0.33818,                0.29022,                0.16259,                 3.1954,                 4.4765,                 3.6479,             0.00031562,             0.00031562,             0.00031562
                     27,                 0.8609,                 0.9494,                  1.959,                0.36033,                0.35151,                0.29603,                 0.1668,                 3.1428,                 4.3731,                 3.6539,             0.00030325,             0.00030325,             0.00030325
                     28,                0.86332,                0.94154,                 1.9535,                0.36219,                0.36291,                0.30522,                0.17248,                 3.1635,                 4.4006,                 3.6482,             0.00029088,             0.00029088,             0.00029088
                     29,                 0.8415,                0.92654,                 1.9466,                0.36944,                0.35916,                0.29769,                0.16793,                 3.1572,                 4.4139,                 3.6835,              0.0002785,              0.0002785,              0.0002785
                     30,                0.82656,                0.89981,                 1.9384,                0.37753,                0.35025,                0.29289,                0.16262,                 3.1637,                 4.4879,                 3.6583,             0.00026613,             0.00026613,             0.00026613
                     31,                0.81696,                0.91233,                 1.9432,                0.39772,                0.35859,                0.31789,                0.17843,                 3.0925,                 4.2845,                 3.5945,             0.00025375,             0.00025375,             0.00025375
                     32,                0.81819,                0.89568,                 1.9364,                0.37908,                0.36963,                0.31041,                 0.1762,                 3.1185,                 4.2843,                  3.635,             0.00024137,             0.00024137,             0.00024137
                     33,                0.79185,                0.86788,                 1.9211,                0.41151,                0.35665,                0.32043,                0.18491,                 3.1047,                 4.2749,                  3.612,               0.000229,               0.000229,               0.000229
                     34,                0.77911,                0.84923,                 1.9121,                0.38453,                0.38452,                0.32773,                0.18625,                 3.0948,                  4.233,                 3.5836,             0.00021662,             0.00021662,             0.00021662
                     35,                0.77295,                0.82403,                 1.9138,                0.43976,                0.38067,                0.34591,                 0.2008,                 3.0569,                 4.1985,                 3.5566,             0.00020425,             0.00020425,             0.00020425
                     36,                0.76507,                 0.8166,                 1.9144,                0.39921,                0.40729,                0.34979,                0.20083,                 3.0799,                 4.1575,                 3.5605,             0.00019188,             0.00019188,             0.00019188
                     37,                0.75745,                0.80843,                 1.8998,                0.41005,                0.39838,                0.35773,                0.20646,                  3.081,                 4.0546,                 3.5821,              0.0001795,              0.0001795,              0.0001795
                     38,                0.72868,                0.79055,                 1.8846,                 0.4154,                0.39877,                  0.356,                0.20841,                 3.0486,                      4,                 3.4976,             0.00016713,             0.00016713,             0.00016713
                     39,                0.73944,                0.79081,                  1.893,                0.42208,                0.40376,                0.35785,                0.20923,                 3.0617,                 4.0543,                  3.549,             0.00015475,             0.00015475,             0.00015475
                     40,                0.71208,                0.76252,                 1.8835,                0.43599,                0.38651,                0.35698,                0.21022,                 3.0505,                 4.0697,                 3.5572,             0.00014237,             0.00014237,             0.00014237
                     41,                 2.6477,                 3.2702,                  3.181,                0.46417,                  0.402,                0.37313,                0.21614,                 3.0478,                 3.9458,                 3.5377,                0.00013,                0.00013,                0.00013
                     42,                 2.5889,                 3.0644,                 3.1287,                0.45486,                0.41617,                0.38369,                0.22695,                 2.9864,                 3.8713,                 3.4854,             0.00011763,             0.00011763,             0.00011763
                     43,                 2.5049,                 2.8647,                 3.0461,                0.46077,                0.41147,                0.39197,                0.23373,                 2.9931,                 3.9207,                 3.4887,             0.00010525,             0.00010525,             0.00010525
                     44,                 2.4267,                 2.6862,                 2.9885,                0.47075,                0.43412,                0.40866,                 0.2419,                  2.969,                 3.7738,                 3.4707,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     45,                 2.4179,                 2.5791,                 2.9667,                0.49603,                 0.4163,                0.41481,                0.24776,                 2.9567,                 3.7976,                 3.4532,               8.05e-05,               8.05e-05,               8.05e-05
                     46,                  2.324,                 2.3897,                 2.8938,                0.50323,                0.42571,                0.41846,                0.24957,                 2.9543,                 3.7923,                 3.4613,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     47,                 2.2743,                 2.2258,                 2.8596,                0.49954,                0.43551,                0.42681,                0.25512,                 2.9623,                 3.7296,                 3.4578,              5.575e-05,              5.575e-05,              5.575e-05
                     48,                 2.2716,                 2.1161,                 2.8286,                0.50307,                0.44187,                0.42829,                0.25711,                 2.9584,                 3.7517,                 3.4596,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     49,                 2.2063,                 2.0219,                 2.7888,                0.51694,                0.45344,                0.43898,                0.26389,                 2.9351,                 3.7247,                 3.4236,                3.1e-05,                3.1e-05,                3.1e-05
                     50,                 2.1787,                 1.9796,                  2.784,                0.49565,                0.46184,                0.43784,                0.26204,                 2.9408,                 3.7222,                 3.4365,             1.8625e-05,             1.8625e-05,             1.8625e-05
