                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0675,                  3.539,                 2.4996,                0.22857,                0.13649,                0.08496,                0.04284,                 3.4272,                 6.7365,                 3.8363,             0.00020806,             0.00020806,             0.00020806
                      2,                  1.888,                 2.3129,                 2.4547,                0.24624,                 0.1794,                0.08186,                0.03801,                 3.6031,                 6.8881,                 3.8987,             0.00041227,             0.00041227,             0.00041227
                      3,                 1.7817,                 2.0829,                 2.3857,                0.29386,                0.13051,                0.08285,                0.04131,                 3.7222,                 7.1291,                 4.0639,             0.00061235,             0.00061235,             0.00061235
                      4,                 1.7137,                 2.0392,                 2.3617,                0.18892,                0.15115,                0.08757,                0.04136,                 3.7308,                 6.1883,                 3.9144,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.5862,                 1.8792,                  2.308,                0.21512,                0.15209,                0.10399,                0.05114,                 3.7176,                 6.2734,                 4.0029,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.4922,                   1.75,                 2.2435,                0.23073,                0.16488,                0.10696,                0.05434,                 3.6139,                 5.9966,                 3.8463,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.4695,                 1.6964,                 2.2327,                 0.2176,                0.19112,                0.11807,                0.05879,                  3.588,                 5.8117,                 3.7967,             0.00058787,             0.00058787,             0.00058787
                      8,                  1.388,                  1.628,                 2.1949,                0.23178,                0.20031,                0.12316,                0.06205,                 3.5186,                 5.6828,                 3.8223,             0.00058169,             0.00058169,             0.00058169
                      9,                 1.3286,                 1.5343,                 2.1557,                0.25999,                 0.2085,                0.13951,                0.07341,                 3.4986,                    5.7,                 3.8229,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.2985,                 1.5078,                 2.1542,                0.24868,                0.21546,                0.14468,                0.07689,                  3.438,                 5.5561,                 3.7481,             0.00056931,             0.00056931,             0.00056931
                     11,                 1.2398,                 1.4064,                 2.1079,                0.26555,                0.21558,                 0.1552,                0.08211,                 3.4459,                 5.5394,                 3.7643,             0.00056313,             0.00056313,             0.00056313
                     12,                  1.217,                 1.3943,                 2.0962,                0.25557,                0.24229,                0.17134,                0.09372,                 3.3677,                 5.2932,                 3.6734,             0.00055694,             0.00055694,             0.00055694
                     13,                 1.1782,                 1.3618,                 2.0772,                0.28745,                0.26261,                0.18673,                0.09802,                 3.4034,                 5.1425,                 3.7065,             0.00055075,             0.00055075,             0.00055075
                     14,                 1.1514,                 1.3238,                 2.0663,                0.25762,                0.24744,                0.17081,                0.09228,                  3.363,                 5.3614,                 3.7223,             0.00054456,             0.00054456,             0.00054456
                     15,                 1.1422,                 1.3055,                 2.0629,                0.25719,                0.26886,                0.17622,                0.09364,                 3.3698,                 5.1972,                 3.6288,             0.00053838,             0.00053838,             0.00053838
                     16,                 1.1275,                 1.2747,                 2.0548,                0.31834,                0.26766,                0.19602,                0.10593,                 3.3421,                 5.1349,                  3.652,             0.00053219,             0.00053219,             0.00053219
                     17,                 1.0894,                 1.2412,                 2.0378,                0.28784,                0.28017,                0.20041,                0.10779,                 3.4116,                 5.3939,                 3.6632,               0.000526,               0.000526,               0.000526
                     18,                 1.0691,                 1.2295,                 2.0224,                0.29034,                0.27672,                0.20123,                 0.1086,                 3.3628,                 5.1081,                 3.6394,             0.00051981,             0.00051981,             0.00051981
                     19,                  1.046,                 1.1929,                 2.0199,                0.28692,                0.28896,                0.21932,                0.11883,                 3.3024,                 4.9873,                 3.5961,             0.00051363,             0.00051363,             0.00051363
                     20,                  1.021,                 1.1661,                 1.9979,                0.29942,                0.28491,                0.21394,                0.11771,                 3.3069,                 4.9547,                 3.6244,             0.00050744,             0.00050744,             0.00050744
                     21,                 1.0298,                 1.1891,                 2.0124,                0.33007,                0.31556,                0.24467,                0.13533,                 3.2665,                  4.646,                 3.5442,             0.00050125,             0.00050125,             0.00050125
                     22,                 1.0341,                 1.1818,                 2.0196,                0.30173,                0.28977,                0.21184,                0.11705,                 3.2872,                  4.985,                 3.5632,             0.00049506,             0.00049506,             0.00049506
                     23,                 0.9995,                 1.1289,                 1.9857,                0.28231,                0.30553,                0.20826,                0.11548,                 3.2837,                 5.0939,                  3.616,             0.00048888,             0.00048888,             0.00048888
                     24,                 1.0156,                 1.1448,                 1.9948,                0.32083,                0.31917,                0.23983,                0.13174,                 3.2741,                 4.7327,                 3.5392,             0.00048269,             0.00048269,             0.00048269
                     25,                0.99247,                  1.096,                 1.9788,                0.34348,                0.30961,                0.25275,                0.13937,                  3.231,                 4.6353,                 3.5416,              0.0004765,              0.0004765,              0.0004765
                     26,                 0.9679,                 1.0939,                  1.971,                0.32002,                0.31855,                0.24792,                0.13576,                 3.2654,                 4.7747,                 3.5313,             0.00047031,             0.00047031,             0.00047031
                     27,                 0.9535,                 1.0755,                 1.9791,                0.34409,                0.32296,                0.26125,                 0.1477,                 3.2033,                 4.5336,                 3.5105,             0.00046413,             0.00046413,             0.00046413
                     28,                0.93577,                 1.0549,                 1.9509,                0.33087,                0.31853,                0.24279,                0.13376,                  3.312,                 4.8402,                  3.547,             0.00045794,             0.00045794,             0.00045794
