                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2384,                 3.3675,                 2.7174,                0.20906,                0.16613,                0.09721,                0.05139,                 3.5346,                 6.8599,                 3.9765,             0.00020778,             0.00020778,             0.00020778
                      2,                 2.0959,                 2.3918,                 2.6648,                0.23759,                0.14534,                0.06906,                0.03353,                 3.7126,                 7.1284,                 4.1099,             0.00041282,             0.00041282,             0.00041282
                      3,                 2.0045,                 2.2154,                 2.6116,                0.17797,                0.15009,                0.08385,                0.04044,                 3.7286,                  6.811,                 4.3065,             0.00061455,             0.00061455,             0.00061455
                      4,                 1.8709,                 2.0604,                 2.5168,                 0.2192,                0.16002,                0.09266,                0.04633,                 3.6401,                 6.5474,                 4.1537,             0.00061015,             0.00061015,             0.00061015
                      5,                 1.7456,                 1.9007,                 2.4457,                0.21104,                0.20003,                0.11515,                0.05601,                 3.5792,                 6.0356,                 4.0955,              0.0006052,              0.0006052,              0.0006052
                      6,                 1.6435,                 1.7467,                 2.3799,                0.25404,                0.18342,                0.11826,                0.05864,                 3.6252,                 6.0796,                 4.1466,             0.00060025,             0.00060025,             0.00060025
                      7,                 1.5454,                 1.6545,                 2.3257,                0.23998,                0.22169,                  0.119,                0.05603,                 3.6626,                 6.1329,                 4.0537,              0.0005953,              0.0005953,              0.0005953
                      8,                 1.4954,                 1.5773,                 2.2913,                0.25098,                0.21232,                0.14523,                0.07484,                 3.5462,                 5.7396,                 4.0171,             0.00059035,             0.00059035,             0.00059035
                      9,                 1.4187,                 1.5095,                 2.2404,                0.23479,                0.21754,                 0.1439,                0.07445,                  3.507,                 5.6901,                 3.9804,              0.0005854,              0.0005854,              0.0005854
                     10,                 1.3712,                 1.4368,                 2.2216,                0.23753,                0.23976,                0.14999,                0.07745,                 3.5379,                 5.5392,                 4.0093,             0.00058045,             0.00058045,             0.00058045
                     11,                 1.3222,                 1.3726,                 2.1879,                0.26184,                0.25448,                0.17585,                0.09061,                 3.4614,                 5.2766,                 3.9438,              0.0005755,              0.0005755,              0.0005755
                     12,                 1.2857,                 1.3656,                  2.173,                0.28258,                0.24058,                0.17742,                 0.0928,                 3.4602,                 5.5123,                 4.0176,             0.00057055,             0.00057055,             0.00057055
                     13,                 1.2671,                  1.302,                 2.1666,                0.29166,                0.27264,                0.19176,                0.09917,                 3.4391,                 5.2402,                 3.9404,              0.0005656,              0.0005656,              0.0005656
                     14,                  1.218,                  1.276,                 2.1332,                 0.3063,                0.27254,                0.20672,                0.11016,                 3.4558,                  5.257,                 3.9964,             0.00056065,             0.00056065,             0.00056065
                     15,                 1.1909,                 1.2498,                 2.1164,                0.29684,                0.27779,                0.21571,                0.11388,                 3.3597,                 5.0482,                 3.8818,              0.0005557,              0.0005557,              0.0005557
                     16,                 1.1795,                 1.2269,                 2.1027,                0.28634,                0.27481,                0.20876,                0.11356,                 3.3626,                 5.0372,                 3.8351,             0.00055075,             0.00055075,             0.00055075
                     17,                 1.1421,                 1.1893,                 2.0882,                0.32155,                0.30245,                0.23501,                0.12805,                 3.3294,                 4.8765,                 3.8347,              0.0005458,              0.0005458,              0.0005458
                     18,                 1.1148,                  1.138,                 2.0735,                0.31348,                0.31935,                0.23305,                0.12449,                 3.3234,                 4.7604,                  3.777,             0.00054085,             0.00054085,             0.00054085
                     19,                 1.1192,                 1.1756,                 2.0732,                0.31992,                0.31278,                0.24214,                0.13082,                 3.3303,                 4.7282,                 3.7941,              0.0005359,              0.0005359,              0.0005359
                     20,                 1.0803,                  1.109,                 2.0425,                0.33792,                0.30804,                0.24412,                0.13568,                 3.2887,                  4.861,                 3.7771,             0.00053095,             0.00053095,             0.00053095
                     21,                 1.1169,                 1.1506,                 2.0695,                0.32164,                0.31038,                0.24776,                 0.1347,                 3.3026,                 4.6725,                 3.8081,               0.000526,               0.000526,               0.000526
                     22,                 1.0694,                 1.0869,                 2.0407,                0.32833,                0.31902,                0.24024,                 0.1336,                 3.2864,                 4.7981,                 3.7814,             0.00052105,             0.00052105,             0.00052105
                     23,                 1.0384,                 1.0615,                 2.0169,                0.35552,                0.32471,                0.26578,                0.14825,                 3.2755,                 4.5598,                 3.7437,              0.0005161,              0.0005161,              0.0005161
                     24,                 1.0427,                 1.0657,                 2.0148,                0.33792,                0.32601,                0.26263,                0.14561,                 3.2547,                 4.6297,                 3.7426,             0.00051115,             0.00051115,             0.00051115
                     25,                 1.0312,                 1.0532,                  2.021,                0.36046,                0.30932,                0.26969,                0.14934,                 3.2374,                 4.6357,                 3.7041,              0.0005062,              0.0005062,              0.0005062
                     26,                 1.0094,                  1.018,                 2.0042,                0.35333,                0.34083,                0.27663,                 0.1518,                 3.2277,                 4.5019,                 3.7392,             0.00050125,             0.00050125,             0.00050125
                     27,                 1.0101,                 1.0391,                 2.0156,                0.34574,                0.36201,                0.28801,                0.16001,                 3.2116,                 4.3456,                 3.7022,              0.0004963,              0.0004963,              0.0004963
                     28,                 1.0103,                 1.0175,                  2.008,                0.35822,                0.34779,                0.27665,                0.15258,                 3.2447,                 4.4779,                 3.6876,             0.00049135,             0.00049135,             0.00049135
                     29,                 0.9784,                0.98795,                 1.9842,                0.36144,                0.33572,                0.27909,                0.15787,                 3.2275,                 4.4646,                 3.7083,              0.0004864,              0.0004864,              0.0004864
                     30,                0.95499,                0.95471,                 1.9752,                0.34193,                0.33394,                0.24811,                0.13627,                 3.2496,                 4.6277,                 3.7339,             0.00048145,             0.00048145,             0.00048145
                     31,                0.94991,                0.96674,                 1.9794,                0.37532,                0.35495,                0.29316,                0.16067,                 3.2278,                 4.3721,                 3.7177,              0.0004765,              0.0004765,              0.0004765
                     32,                0.95403,                0.96222,                 1.9732,                0.37031,                0.35306,                0.28767,                0.15907,                 3.2293,                 4.4145,                 3.6852,             0.00047155,             0.00047155,             0.00047155
                     33,                 0.9456,                0.94946,                 1.9697,                  0.374,                0.35759,                0.29843,                0.16802,                  3.233,                 4.3604,                 3.7086,              0.0004666,              0.0004666,              0.0004666
                     34,                0.93623,                0.93945,                 1.9689,                 0.3798,                0.35752,                0.30156,                0.16712,                 3.2388,                 4.3541,                 3.7285,             0.00046165,             0.00046165,             0.00046165
                     35,                0.93027,                0.92076,                 1.9701,                0.35284,                0.35851,                0.28926,                0.16228,                 3.2027,                 4.3126,                 3.7055,              0.0004567,              0.0004567,              0.0004567
                     36,                0.94337,                0.92895,                 1.9761,                0.36925,                0.35896,                0.30609,                0.17032,                 3.1888,                 4.4761,                 3.6595,             0.00045175,             0.00045175,             0.00045175
                     37,                0.92474,                0.91454,                 1.9491,                0.35749,                0.34263,                0.28205,                0.15838,                 3.2433,                  4.527,                  3.719,              0.0004468,              0.0004468,              0.0004468
                     38,                0.91041,                0.89307,                  1.945,                0.38426,                0.37402,                0.32615,                0.18512,                 3.1931,                 4.1638,                  3.657,             0.00044185,             0.00044185,             0.00044185
                     39,                0.91725,                0.91288,                 1.9528,                0.38801,                0.37494,                0.31136,                0.17506,                 3.1893,                 4.2718,                 3.7058,              0.0004369,              0.0004369,              0.0004369
                     40,                0.90377,                0.90123,                 1.9547,                0.37661,                0.38352,                0.31616,                0.17679,                  3.176,                 4.2334,                 3.6612,             0.00043195,             0.00043195,             0.00043195
                     41,                0.90138,                0.89385,                 1.9512,                0.39833,                0.37875,                 0.3283,                0.18963,                 3.1581,                 4.1489,                 3.6251,               0.000427,               0.000427,               0.000427
                     42,                0.88072,                0.86836,                 1.9373,                 0.4079,                0.37363,                0.33017,                0.18934,                 3.1461,                 4.2281,                  3.607,             0.00042205,             0.00042205,             0.00042205
                     43,                0.87762,                 0.8843,                 1.9398,                0.38497,                0.38164,                0.33171,                0.18848,                 3.1478,                 4.1181,                 3.6374,              0.0004171,              0.0004171,              0.0004171
                     44,                0.86398,                0.84948,                 1.9309,                0.40251,                0.37222,                0.32957,                0.18734,                 3.1499,                 4.1922,                 3.6111,             0.00041215,             0.00041215,             0.00041215
                     45,                0.86732,                0.85903,                 1.9282,                0.40003,                0.38847,                0.33111,                0.19027,                 3.1605,                  4.145,                 3.6144,              0.0004072,              0.0004072,              0.0004072
                     46,                0.85135,                0.83554,                 1.9238,                0.42931,                0.36259,                0.33518,                0.19016,                 3.1764,                 4.1664,                 3.6517,             0.00040225,             0.00040225,             0.00040225
                     47,                0.85511,                0.84195,                 1.9302,                0.41361,                 0.3908,                0.33934,                0.19357,                 3.1614,                 4.1486,                 3.6404,              0.0003973,              0.0003973,              0.0003973
                     48,                0.84282,                0.82517,                 1.9187,                  0.428,                0.37543,                0.35074,                0.19853,                 3.1411,                 4.0466,                 3.5947,             0.00039235,             0.00039235,             0.00039235
                     49,                 0.8524,                0.82065,                 1.9172,                0.42568,                0.36861,                0.33494,                0.19185,                 3.1365,                 4.2147,                 3.6125,              0.0003874,              0.0003874,              0.0003874
                     50,                0.83104,                0.80639,                 1.9126,                0.41413,                0.38117,                 0.3432,                0.19481,                 3.1485,                 4.1925,                 3.6159,             0.00038245,             0.00038245,             0.00038245
                     51,                0.83202,                0.80531,                 1.9119,                0.42043,                0.39427,                0.35312,                0.19966,                 3.1195,                 4.0232,                 3.5912,              0.0003775,              0.0003775,              0.0003775
                     52,                0.82286,                0.79935,                 1.9081,                0.43922,                0.38525,                0.36282,                0.20722,                 3.1394,                  4.045,                 3.6151,             0.00037255,             0.00037255,             0.00037255
                     53,                0.80869,                0.78649,                 1.9007,                0.43642,                0.37957,                0.35699,                0.20207,                 3.1567,                 4.0578,                  3.611,              0.0003676,              0.0003676,              0.0003676
                     54,                0.82283,                0.78805,                   1.91,                0.44345,                0.39264,                0.37352,                0.21259,                 3.1471,                 4.0163,                 3.5907,             0.00036265,             0.00036265,             0.00036265
                     55,                0.83197,                0.79268,                 1.9151,                0.42557,                0.40018,                 0.3631,                 0.2082,                 3.1475,                 4.0644,                 3.6292,              0.0003577,              0.0003577,              0.0003577
                     56,                0.81424,                0.77716,                 1.9095,                0.42766,                0.39753,                0.36147,                0.20721,                 3.1357,                 4.0239,                 3.5914,             0.00035275,             0.00035275,             0.00035275
                     57,                0.79526,                0.75073,                 1.8954,                0.43586,                0.38138,                0.35731,                 0.2053,                 3.1017,                 4.1192,                 3.6119,              0.0003478,              0.0003478,              0.0003478
                     58,                 0.7931,                0.76541,                 1.8911,                0.41947,                0.40687,                0.35973,                0.20762,                 3.1245,                 3.9883,                  3.589,             0.00034285,             0.00034285,             0.00034285
                     59,                0.78931,                0.75777,                 1.8909,                0.42596,                0.41747,                0.36995,                0.21633,                 3.1061,                 3.9912,                 3.5714,              0.0003379,              0.0003379,              0.0003379
                     60,                0.80455,                0.76381,                 1.8961,                0.44523,                 0.3956,                0.36814,                0.21038,                  3.111,                  3.976,                  3.598,             0.00033295,             0.00033295,             0.00033295
