                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7382,                0.54333,                0.92944,                 2.0237,             0.00023737,             0.00023737,             0.00023737
                      2,                 1.3045,                0.59944,                0.95111,                 1.9593,             0.00047498,             0.00047498,             0.00047498
                      3,                  1.212,                   0.62,                  0.965,                 1.9143,             0.00071106,             0.00071106,             0.00071106
                      4,                 1.1468,                0.63611,                  0.965,                 1.9152,             0.00070882,             0.00070882,             0.00070882
                      5,                 1.0628,                0.65222,                0.97111,                  1.895,             0.00070482,             0.00070482,             0.00070482
                      6,                 1.0272,                0.62556,                0.96222,                 1.9136,             0.00069968,             0.00069968,             0.00069968
                      7,                0.99761,                0.64333,                0.97278,                 1.8823,             0.00069345,             0.00069345,             0.00069345
                      8,                 0.9494,                0.62278,                0.97389,                 1.8982,             0.00068612,             0.00068612,             0.00068612
                      9,                0.90363,                0.65111,                0.97167,                 1.8728,             0.00067774,             0.00067774,             0.00067774
                     10,                 0.8719,                0.63389,                0.96778,                 1.8829,             0.00066832,             0.00066832,             0.00066832
                     11,                0.83859,                0.62056,                0.97167,                 1.8969,             0.00065789,             0.00065789,             0.00065789
                     12,                0.80259,                0.64944,                0.97444,                 1.8521,              0.0006465,              0.0006465,              0.0006465
                     13,                0.75476,                0.62333,                   0.97,                 1.8865,             0.00063417,             0.00063417,             0.00063417
                     14,                0.73073,                0.66444,                  0.975,                 1.8545,             0.00062096,             0.00062096,             0.00062096
                     15,                0.67871,                0.64556,                0.97333,                 1.8532,             0.00060689,             0.00060689,             0.00060689
                     16,                0.65378,                0.62278,                0.97167,                 1.8776,             0.00059202,             0.00059202,             0.00059202
                     17,                0.62959,                0.63333,                0.97222,                   1.87,             0.00057639,             0.00057639,             0.00057639
                     18,                0.60273,                0.64167,                0.97167,                 1.8544,             0.00056006,             0.00056006,             0.00056006
                     19,                0.57371,                  0.635,                0.97222,                 1.8571,             0.00054308,             0.00054308,             0.00054308
                     20,                0.53269,                0.64167,                0.96778,                 1.8393,              0.0005255,              0.0005255,              0.0005255
                     21,                 0.5255,                  0.615,                0.97278,                  1.874,             0.00050739,             0.00050739,             0.00050739
                     22,                0.48071,                0.62778,                0.97333,                 1.8642,              0.0004888,              0.0004888,              0.0004888
                     23,                0.45155,                0.64667,                0.97222,                 1.8391,             0.00046979,             0.00046979,             0.00046979
                     24,                0.41433,                0.63111,                0.97611,                 1.8545,             0.00045042,             0.00045042,             0.00045042
