                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0027,                 3.0695,                 2.5652,                0.28089,                0.13991,                0.09764,                0.05308,                 3.4621,                  6.452,                 3.9821,             0.00020806,             0.00020806,             0.00020806
                      2,                  1.856,                 2.2352,                 2.5259,                0.16259,                0.15506,                0.08087,                0.03839,                 3.7129,                 6.7309,                 4.2409,             0.00041309,             0.00041309,             0.00041309
                      3,                 1.7837,                 2.0773,                 2.4999,                0.25435,                0.10063,                0.07252,                 0.0336,                 3.8718,                 6.9207,                 4.4276,             0.00061483,             0.00061483,             0.00061483
                      4,                 1.6999,                 1.9685,                 2.4361,                 0.1675,                 0.1453,                0.08466,                0.04132,                 3.6714,                 6.2764,                 4.1397,             0.00061015,             0.00061015,             0.00061015
                      5,                 1.5654,                 1.8624,                 2.3571,                0.22713,                0.15064,                0.09288,                0.04723,                 3.6606,                 6.2964,                 4.2043,              0.0006052,              0.0006052,              0.0006052
                      6,                 1.4795,                 1.7138,                 2.3087,                 0.2032,                0.15935,                0.10038,                0.04897,                  3.631,                 6.2279,                 4.1048,             0.00060025,             0.00060025,             0.00060025
                      7,                 1.4035,                 1.6311,                 2.2666,                 0.2529,                0.17916,                 0.1246,                0.06512,                 3.4926,                  5.974,                 4.0275,              0.0005953,              0.0005953,              0.0005953
                      8,                 1.3167,                 1.5356,                 2.2257,                0.22187,                 0.2082,                  0.133,                0.06651,                 3.5153,                 5.5154,                 4.0401,             0.00059035,             0.00059035,             0.00059035
                      9,                 1.3023,                 1.4952,                 2.2111,                0.23429,                0.20084,                0.13326,                0.07096,                 3.5022,                 5.7623,                   3.99,              0.0005854,              0.0005854,              0.0005854
                     10,                 1.2444,                 1.4457,                 2.1753,                0.23199,                0.19814,                0.13191,                0.06915,                  3.476,                 5.7844,                 4.0131,             0.00058045,             0.00058045,             0.00058045
                     11,                 1.2148,                  1.403,                 2.1549,                0.25425,                0.23549,                0.16196,                0.08411,                 3.3802,                 5.4035,                 3.8864,              0.0005755,              0.0005755,              0.0005755
                     12,                 1.2042,                 1.3705,                 2.1583,                0.27265,                0.22868,                  0.165,                0.08865,                 3.4227,                 5.4984,                  3.908,             0.00057055,             0.00057055,             0.00057055
                     13,                  1.156,                 1.3549,                  2.125,                0.30476,                0.25325,                0.18763,                0.09818,                 3.3737,                 5.3067,                  3.907,              0.0005656,              0.0005656,              0.0005656
                     14,                 1.1243,                 1.2878,                  2.109,                 0.2802,                0.24717,                 0.1767,                0.09629,                    3.4,                 5.3354,                 3.9135,             0.00056065,             0.00056065,             0.00056065
                     15,                 1.1097,                 1.2898,                 2.1012,                 0.2894,                0.24525,                0.18626,                0.09883,                 3.3622,                 5.1661,                  3.863,              0.0005557,              0.0005557,              0.0005557
                     16,                 1.0892,                 1.2499,                 2.0881,                0.26942,                0.26904,                0.18083,                0.09646,                 3.3493,                 5.3309,                 3.8593,             0.00055075,             0.00055075,             0.00055075
                     17,                  1.056,                 1.2091,                 2.0665,                0.30218,                0.27879,                 0.2101,                0.11372,                  3.358,                 5.0334,                 3.8619,              0.0005458,              0.0005458,              0.0005458
                     18,                  1.055,                 1.2108,                 2.0644,                0.30994,                0.27595,                0.20934,                0.11347,                 3.3244,                  5.096,                 3.7993,             0.00054085,             0.00054085,             0.00054085
                     19,                 1.0239,                 1.1626,                 2.0548,                0.29748,                0.28501,                0.21405,                0.11563,                 3.2872,                 5.0172,                 3.8048,              0.0005359,              0.0005359,              0.0005359
                     20,                 1.0047,                 1.1304,                  2.037,                0.31195,                0.28495,                0.21862,                0.11977,                 3.3414,                 4.9767,                 3.8046,             0.00053095,             0.00053095,             0.00053095
                     21,                 1.0038,                 1.1445,                 2.0355,                0.33138,                0.28779,                0.23341,                 0.1269,                 3.3168,                 4.8781,                 3.8332,               0.000526,               0.000526,               0.000526
                     22,                 1.0134,                 1.1791,                 2.0525,                0.32201,                0.29614,                0.22234,                0.12381,                 3.2809,                 4.8846,                 3.7432,             0.00052105,             0.00052105,             0.00052105
                     23,                 1.0099,                 1.1592,                 2.0375,                0.31162,                0.29202,                0.22543,                0.12345,                 3.3079,                 4.9271,                 3.7738,              0.0005161,              0.0005161,              0.0005161
                     24,                0.98965,                 1.1199,                 2.0219,                0.30741,                0.31331,                0.23805,                0.13235,                 3.2258,                 4.7422,                 3.7107,             0.00051115,             0.00051115,             0.00051115
                     25,                0.95856,                 1.0757,                 2.0056,                0.32118,                0.30101,                0.24158,                 0.1335,                 3.2824,                  4.861,                 3.7371,              0.0005062,              0.0005062,              0.0005062
